PostcodeDistrict,EstimatedCatPopulation
BS39,"3,905.76"
BS4,"12,959.10"
BS40,"11,526.62"
BS41,930.5047501
BS48,"7,687.90"
BS49,"2,310.27"
BS5,"6,166.18"
BS6,"3,130.92"
BS7,"3,448.69"
BS8,"2,715.67"
BS9,"2,842.30"
CA1,"7,111.54"
CA10,"7,348.87"
BB94,0
BD97,0
BD98,0
BD99,0
BL11,0
BL78,0
BN50,0
BN88,0
BN99,0
BS98,0
BS99,0
CA11,"8,559.79"
CA12,"3,894.39"
CA13,"4,699.07"
CA14,"6,064.32"
CA15,"2,186.97"
CA16,"2,506.51"
CA17,"2,819.23"
CA18,150.4527371
CA19,531.5968392
CA2,"6,117.04"
CA20,"1,151.12"
CA21,271.2143297
CA22,"3,201.36"
CA23,489.5077269
CA24,252.5388976
CA25,"1,520.98"
CA26,911.5772662
CA27,518.534605
CA28,"4,568.21"
CA3,"7,369.39"
CA4,"5,509.06"
CA5,"4,756.77"
CA6,"8,040.16"
CA7,"8,003.29"
CA8,"6,824.98"
CA9,"1,819.93"
CB1,"7,020.09"
CB10,"3,600.16"
CB11,"4,028.44"
CB2,"1,716.78"
CB21,"7,162.24"
CB22,"4,025.49"
CB23,"11,053.48"
CB24,"9,965.52"
CB25,"6,553.24"
CB3,"6,033.83"
CB4,"6,558.07"
CB5,"6,375.93"
CB6,"4,823.85"
CB7,"4,209.86"
CB8,"23,544.45"
CB9,"4,547.14"
CF10,946.5707352
CF11,"2,867.65"
CF14,"12,137.01"
CF15,"2,348.72"
CF23,"5,623.85"
CF24,"2,998.85"
CF3,"4,138.22"
CF31,"9,971.15"
CF32,"3,136.57"
CF33,"2,773.71"
CF34,"4,096.46"
CF35,"3,317.96"
CF36,"4,133.79"
CF37,"2,188.90"
CF38,"1,548.71"
CF39,"1,552.01"
CF40,656.3555234
CF41,316.6766554
CF42,374.6091904
CF43,792.1755911
CF44,"1,712.45"
CF45,"3,640.84"
CF46,"1,139.27"
CF47,"3,755.45"
CF48,"4,258.39"
CF5,"9,832.82"
CF61,"1,379.32"
CF62,"3,923.60"
CF63,"1,903.19"
CF64,"3,121.63"
CF71,"1,701.53"
CF72,"5,373.64"
CF81,"1,573.18"
CF82,"1,672.72"
CF83,"6,076.57"
CH1,"5,491.71"
CH2,"9,233.04"
CH3,"7,982.71"
CH4,"8,291.39"
CH41,"1,941.11"
CH42,"4,211.23"
CH43,"3,947.70"
CH44,"3,644.97"
CH45,"4,661.69"
CH46,"2,894.85"
CH47,"2,679.82"
CH48,"2,793.38"
CH49,"3,843.05"
CH5,"19,243.29"
CH6,"4,411.96"
CH60,"4,606.26"
CH61,"4,472.59"
CH62,"2,044.91"
CH63,"5,123.08"
CH64,"10,244.88"
CH65,"2,724.26"
CH66,"8,896.63"
CH7,"16,371.83"
CH8,"10,826.54"
CM0,"4,680.20"
CM1,"7,517.25"
CM11,"1,694.67"
CM12,"2,755.06"
CM13,"3,614.94"
CM14,"1,307.37"
CM15,"4,105.92"
CM16,"6,165.72"
CM17,"2,713.40"
CM18,810.0322697
CM19,"1,683.06"
CM2,"11,329.95"
CM20,"5,659.11"
CM21,"3,509.29"
CM22,"3,390.02"
CM23,"9,780.60"
CM24,"2,575.44"
CM3,"10,163.19"
CM4,"3,388.84"
CM5,"3,866.10"
CM6,"7,192.19"
CM7,"6,437.32"
CM77,"2,853.38"
CM8,"4,772.04"
CM9,"9,686.15"
CO1,"4,489.73"
CO10,"10,792.12"
CO11,"1,248.36"
CO12,"2,677.59"
CO13,571.1376153
CO14,288.0679836
CO15,"3,760.95"
CO16,"3,705.67"
CO2,"5,201.51"
CO3,"3,669.01"
CO4,"6,081.96"
CO5,"8,185.33"
CO6,"6,897.57"
CO7,"6,541.70"
CO8,"1,597.28"
CO9,"7,819.43"
CR0,"7,868.29"
CR2,"3,306.56"
CR3,"8,537.06"
CR4,"2,917.01"
CR5,"4,125.31"
CR6,714.173794
CR7,733.3720299
CR8,"1,868.25"
CT1,"6,052.53"
CT10,"2,182.07"
CT11,"1,661.89"
CT12,"3,325.19"
CT13,"2,506.55"
CT14,"10,385.88"
CT15,"3,471.83"
CT16,"5,807.42"
CT17,"4,595.49"
CT18,"2,040.02"
CT19,"6,336.57"
CT2,"2,286.61"
CT20,"4,181.71"
CT21,"1,837.84"
CT3,"5,924.65"
CT4,"3,784.62"
CT5,"8,245.17"
CT6,"11,778.93"
CT7,"2,186.18"
CT8,"1,137.85"
