PostcodeDistrict,EstimatedCatPopulation
KW5,87.52637892
KW6,110.3816636
KW7,38.87729249
KW8,275.9046692
KW9,532.2466865
KY1,"7,941.92"
KY10,"3,002.17"
KY11,"4,265.00"
KY12,"2,444.75"
KY13,"4,240.43"
KY14,"2,808.49"
KY15,"8,829.94"
KY16,"5,187.22"
KY2,"3,613.66"
KY3,"4,722.69"
KY4,"5,767.36"
KY5,"2,443.89"
KY6,"3,276.86"
KY7,"3,471.95"
KY8,"6,768.45"
KY9,810.2482672
L1,698.5790478
L10,"2,104.45"
L11,"1,415.53"
L12,"2,517.02"
L13,"2,122.63"
L14,"2,977.20"
L15,"1,794.10"
L16,"1,055.71"
L17,"2,114.37"
L18,"5,025.04"
L19,"6,333.39"
L2,208.5446202
L20,"1,649.61"
L21,955.4608421
L22,292.5946695
L23,765.5264139
L24,"1,548.89"
L25,"2,830.00"
L26,"1,088.91"
L27,444.2013858
L28,274.6968929
L29,47.2057108
L3,848.672667
L30,"1,472.58"
L31,"2,641.95"
L32,"2,457.40"
L33,"1,714.21"
L34,"1,016.78"
L35,"1,790.90"
L36,"2,795.40"
L37,"4,410.69"
L38,769.7296807
L39,"2,808.58"
L4,"2,117.10"
L40,"5,031.15"
L5,951.8876727
L6,"1,488.43"
L7,"1,185.41"
L8,"1,747.94"
L9,"2,446.50"
LA1,"9,866.94"
LA10,"1,751.13"
LA11,"3,088.65"
LA12,"5,384.48"
LA13,"3,385.08"
LA14,"4,026.89"
LA15,668.8776299
LA16,370.8698362
LA17,"1,341.85"
LA18,"3,739.64"
FY0,0
G58,0
G70,0
G79,0
G90,0
GU95,0
IP98,0
IV99,0
KY99,0
L67,0
L69,0
L70,0
L71,0
L72,0
L74,0
L75,0
LA19,422.6367252
LA2,"7,080.55"
LA20,"1,598.11"
LA21,569.5943639
LA22,"2,000.36"
LA23,"2,271.27"
LA3,"2,876.19"
LA4,"2,390.02"
LA5,"5,745.76"
LA6,"12,567.39"
LA7,"1,216.48"
LA8,"2,533.14"
LA9,"9,449.51"
LD1,"5,191.46"
LD2,"1,482.91"
LD3,"9,746.56"
LD4,188.2139786
LD5,329.1483106
LD6,752.1821214
LD7,"2,703.86"
LD8,995.9195824
LE1,879.9994493
LE10,"6,058.64"
LE11,"2,875.72"
LE12,"11,647.37"
LE13,"5,774.60"
LE14,"4,184.14"
LE15,"16,244.53"
LE16,"12,013.15"
LE17,"2,787.45"
LE18,"5,210.49"
LE19,"1,953.86"
LE2,"10,465.19"
LE3,"8,000.03"
LE4,"3,273.27"
LE5,"2,781.37"
LE6,807.474248
LE65,"2,086.96"
LE67,"5,370.49"
LE7,"2,307.41"
LE8,"5,456.69"
LE9,"5,640.78"
LL11,"5,706.85"
LL12,"8,451.14"
LL13,"10,965.85"
LL14,"3,924.64"
LL15,"7,618.96"
LL16,"11,799.09"
LL17,820.1765757
LL18,"6,051.11"
LL19,"3,200.67"
LL20,"2,176.45"
LL21,"2,346.91"
LL22,"4,289.65"
LL23,"8,233.15"
LL24,"1,388.59"
LL25,366.2275697
LL26,"2,431.70"
LL27,513.5957435
LL28,"2,888.00"
LL29,"5,000.79"
LL30,"6,082.60"
LL31,"4,080.64"
LL32,"2,669.66"
LL33,"1,840.10"
LL34,"2,158.96"
LL35,749.4604297
LL36,"3,806.78"
LL37,901.7946772
LL38,532.5392224
LL39,154.137729
LL40,"2,498.76"
LL41,"3,771.46"
LL42,"1,482.04"
LL43,256.874941
LL44,554.4860036
LL45,393.094968
LL46,"1,274.30"
LL47,81.46600744
LL48,295.3373079
LL49,604.4542256
LL51,100.2750948
LL52,331.4898309
LL53,"2,239.19"
LL54,"1,985.41"
LL55,"3,993.83"
LL56,452.2012572
LL57,"5,820.45"
LL58,"1,244.89"
LL59,"1,583.90"
LL60,"1,221.54"
LL61,"1,843.11"
LL62,967.440504
LL63,861.4435286
LL64,973.2110672
LL65,"9,503.03"
LL66,104.6987666
LL67,582.3563303
LL68,"2,361.77"
LL69,295.3294395
LL70,126.1980397
LL71,742.8678906
LL72,404.0854582
LL73,117.5853504
LL74,792.0197701
LL75,481.2110455
LL76,70.70154318
LL77,"1,986.92"
LL78,129.3340055
LN1,"6,168.13"
LN10,"1,436.16"
LN11,"8,590.74"
LN12,"2,357.01"
LN13,"1,987.44"
LN2,"4,674.06"
LN3,"1,827.95"
LN4,"9,577.08"
LN5,"3,441.57"
LN6,"7,458.14"
LN7,745.1740403
LN8,"6,135.16"
LN9,"1,598.91"
LS1,401.2131436
LS10,"2,043.72"
LS11,"1,752.33"
LS12,"8,539.14"
LS13,"4,427.49"
LS14,"1,457.41"
LS15,"2,047.20"
LS16,"10,033.16"
LS17,"12,758.48"
LS18,"5,238.07"
LS19,"2,488.49"
LS2,443.2131647
LS20,"2,099.05"
LS21,"6,583.27"
LS22,"3,756.91"
LS23,"2,650.51"
LS24,"1,915.97"
LS25,"6,593.52"
LS26,"4,030.61"
LS27,"13,388.50"
LS28,"7,763.99"
LS29,"6,804.54"
LS3,195.3234421
LS4,381.1515103
LS5,706.4832507
LS6,"5,519.47"
LS7,"3,975.34"
LS8,"2,966.42"
LS9,"1,380.22"
LU1,"3,537.79"
LU2,"5,654.75"
LU3,"5,718.93"
LU4,"2,559.90"
LU5,"3,511.92"
LU6,"2,287.76"
LU7,"10,467.95"
M1,462.4768799
M11,686.9936689
M12,399.0288278
M13,693.0870898
M14,"3,437.19"
M15,"1,743.89"
M16,"4,122.59"
M17,152.1643354
M18,"1,095.09"
M19,"1,515.38"
M2,120.4666092
M20,"2,952.98"
M21,"2,416.52"
M22,"3,681.59"
M23,"2,463.30"
M24,"2,573.72"
M25,"1,092.28"
M26,"2,975.69"
M27,"5,419.72"
M28,"2,649.81"
M29,"1,819.85"
M3,579.2622922
M30,"2,718.38"
M31,"1,416.07"
M32,"2,225.09"
M33,"5,579.92"
M34,"4,418.30"
M35,476.5470515
M38,826.6549306
M4,306.3640463
M40,"1,151.35"
M41,"3,746.63"
M43,"1,152.02"
M44,"2,231.26"
M45,"1,267.42"
M46,"1,633.48"
M5,874.4409248
M50,203.1059556
M6,"1,401.31"
M7,986.716462
M8,843.5156808
M9,"1,220.78"
M90,23.35288464
ME1,"5,480.78"
ME10,"6,351.79"
ME11,674.6454326
ME12,"3,038.34"
ME13,"6,739.63"
ME14,"9,609.33"
ME15,"7,249.74"
ME16,"3,456.80"
ME17,"4,015.76"
ME18,"1,326.60"
ME19,"2,766.05"
ME2,"4,405.03"
ME20,"3,976.76"
ME3,"2,715.59"
ME4,"3,478.28"
ME5,"8,825.32"
ME6,"1,308.69"
ME7,"4,019.65"
ME8,"6,197.64"
ME9,"2,951.72"
MK1,242.028627
MK10,"3,944.74"
MK11,"2,186.40"
MK12,"1,028.04"
MK13,866.3671609
MK14,"3,805.08"
MK15,"4,029.08"
MK16,"6,310.78"
MK17,"3,383.46"
MK18,"9,197.06"
MK19,923.8104222
MK2,"1,488.49"
MK3,"2,274.17"
MK4,"2,024.17"
MK40,"2,484.69"
MK41,"7,655.64"
MK42,"2,907.52"
MK43,"2,488.24"
MK44,"2,263.32"
MK45,"10,813.54"
MK46,453.1682175
MK5,855.9817464
MK6,"3,393.71"
MK7,"3,026.08"
MK8,798.9708847
MK9,425.3574989
ML1,"5,754.42"
ML10,"4,120.57"
ML11,"17,274.03"
ML12,"5,869.05"
ML2,"1,995.40"
ML3,"5,019.53"
ML4,"2,318.02"
ML5,"3,799.54"
ML6,"3,906.89"
ML7,739.8575773
ML8,"6,312.23"
ML9,"2,999.88"
N1,"5,910.76"
N10,"3,070.68"
N11,"1,872.66"
N12,"1,817.77"
N13,"1,140.36"
N14,"2,137.02"
N15,989.5855085
N16,"1,383.44"
N17,"1,591.30"
N18,910.783558
N19,"2,733.25"
N1C,65.55498391
N2,"2,545.84"
N20,"1,709.13"
N21,"1,528.76"
N22,"1,865.20"
N3,"2,283.31"
N4,"2,831.04"
N5,"1,240.45"
N6,"2,402.00"
N7,"3,684.93"
N8,"4,375.66"
N9,"1,741.84"
NE1,"1,927.72"
NE10,"6,676.11"
NE11,"1,821.25"
NE12,"3,114.00"
NE13,"2,559.00"
NE15,"3,000.80"
NE16,"3,367.06"
NE17,362.6003665
NE18,92.36806982
NE19,441.716092
NE2,"4,346.68"
NE20,"2,098.11"
NE21,"1,111.39"
NE22,"4,713.88"
NE23,"11,829.17"
NE24,"11,553.60"
NE25,"6,175.07"
NE26,"1,757.12"
NE27,"1,239.66"
NE28,"2,748.27"
NE29,"6,160.44"
NE3,"6,822.57"
NE30,"2,537.54"
NE31,"1,070.38"
NE32,"1,414.73"
NE33,"3,009.14"
NE34,"4,174.50"
NE35,344.4700655
NE36,"1,034.38"
NE37,"3,914.92"
NE38,"2,834.31"
NE39,493.7034039
NE4,"4,306.08"
NE40,"1,186.61"
NE41,239.0158507
NE42,"1,384.82"
NE43,"1,982.73"
NE44,474.7203276
NE45,495.0125848
NE46,"4,970.58"
NE47,"2,570.40"
NE48,644.3444441
NE49,"3,896.37"
NE5,"3,867.21"
NE6,"6,863.31"
NE61,"5,460.75"
NE62,"1,734.25"
NE63,"7,132.92"
NE64,951.7412522
NE65,"5,876.32"
NE66,"8,301.05"
NE67,407.8680845
NE68,469.8867461
NE69,157.9142738
NE7,"1,688.94"
NE70,415.3066322
NE71,"1,536.16"
NE8,"3,116.01"
NE9,"7,537.37"
NG1,"2,081.68"
NG10,"3,086.71"
NG11,"5,554.16"
NG12,"12,313.73"
NG13,"6,767.97"
NG14,"8,154.42"
NG15,"9,382.05"
NG16,"9,038.69"
NG17,"5,395.50"
NG18,"2,440.45"
NG19,"6,234.19"
NG2,"5,663.59"
NG20,"2,525.79"
NG21,"3,206.49"
NG22,"6,062.42"
NG23,"5,423.34"
NG24,"8,517.64"
NG25,"5,040.40"
NG3,"6,323.84"
NG31,"8,058.74"
NG32,"2,961.33"
NG33,"2,114.34"
NG34,"16,040.74"
NG4,"4,927.68"
NG5,"5,586.74"
NG6,"1,657.89"
NG7,"7,362.77"
NG8,"17,481.60"
NG9,"7,901.60"
NN1,"6,997.11"
NN10,"2,547.26"
NN11,"9,231.18"
NN12,"9,664.27"
NN13,"3,797.50"
NN14,"13,311.82"
NN15,"4,233.77"
NN16,"6,082.39"
NN17,"2,212.72"
NN18,"1,912.45"
NN2,"4,085.04"
NN29,"1,303.04"
NN3,"9,500.90"
NN4,"3,961.01"
NN5,"5,179.01"
NN6,"6,498.84"
NN7,"4,061.05"
NN8,"6,713.26"
NN9,"2,508.60"
NP10,"1,905.35"
NP11,"5,298.50"
NP12,"3,766.22"
NP13,"1,273.03"
NP15,"4,140.19"
NP16,"7,265.33"
NP18,"4,216.53"
NP19,"5,943.01"
NP20,"6,382.21"
NP22,"3,737.05"
NP23,"3,086.87"
NP24,480.3613277
NP25,"6,029.82"
NP26,"4,669.26"
NP4,"6,545.95"
NP44,"7,011.11"
NP7,"9,804.64"
NP8,"2,414.95"
NR1,"8,023.56"
NR10,"4,613.60"
NR11,"3,044.92"
NR12,"5,613.10"
NR13,"4,647.41"
NR14,"16,946.63"
NR15,"12,068.69"
NR16,"4,997.48"
NR17,"4,178.11"
NR18,"2,592.63"
NR19,"3,091.81"
NR2,"3,161.44"
NR20,"5,350.46"
NR21,"7,695.93"
NR22,427.0726818
NR23,"1,588.90"
NR24,839.7305877
NR25,"2,185.24"
NR26,"2,058.44"
NR27,"2,825.62"
NR28,"2,508.63"
NR29,"2,844.84"
NR3,"4,678.35"
NR30,"3,948.46"
NR31,"2,791.99"
NR32,"4,400.52"
NR33,"13,172.80"
NR34,"7,891.22"
NR35,"5,038.06"
NR4,"3,158.02"
NR5,"4,857.12"
NR6,"2,913.54"
NR7,"5,767.82"
NR8,"6,593.46"
NR9,"3,303.51"
NW1,"5,426.58"
NW10,"4,041.36"
NW11,"2,449.20"
NW2,"3,587.69"
NW3,"6,442.89"
NW4,"2,784.07"
NW5,"2,605.91"
NW6,"3,633.04"
NW7,"1,464.83"
NW8,"2,696.63"
NW9,"2,041.92"
OL1,"2,037.09"
OL10,"1,346.14"
OL11,"4,062.29"
OL12,"3,641.14"
OL13,"1,314.33"
OL14,"4,262.23"
OL15,"2,195.31"
OL16,"2,538.23"
OL2,"4,887.64"
OL3,"1,591.25"
OL4,"2,490.60"
OL5,"1,348.48"
OL6,"3,581.63"
OL7,"2,217.70"
OL8,"1,704.34"
OL9,"2,566.69"
OX1,"6,914.29"
OX10,"13,218.06"
OX11,"9,689.32"
OX12,"7,960.07"
OX13,"2,654.36"
OX14,"10,994.07"
OX15,"10,362.61"
OX16,"12,944.76"
OX17,"8,934.94"
OX18,"6,503.70"
OX2,"6,440.66"
OX20,578.321351
OX25,"5,598.64"
OX26,"8,091.69"
OX27,"3,042.94"
OX28,"4,687.39"
LE87,0
LE95,0
LS98,0
LS99,0
M60,0
M61,0
M99,0
MK77,0
N81,0
NE85,0
NE92,0
NE98,0
NE99,0
NG80,0
NG90,0
NR99,0
OX29,"5,293.74"
OX3,"8,106.73"
OX33,"2,364.89"
OX39,"3,638.92"
OX4,"3,864.49"
OX44,"1,294.99"
OX49,"1,035.55"
OX5,"1,598.34"
OX7,"12,377.88"
OX9,"3,494.43"
PA1,"3,725.40"
PA10,"1,035.57"
PA11,602.2468142
PA12,352.4384077
PA13,473.4634833
PA14,"1,541.95"
PA15,"1,859.02"
PA16,"2,599.42"
PA17,425.1566095
PA18,262.3011052
PA19,"1,107.03"
PA2,"5,560.88"
PA20,"2,088.71"
PA21,184.5210606
PA22,64.79784997
PA23,"2,283.94"
PA24,94.54224629
PA25,16.74859483
PA26,25.54013819
PA27,150.1230676
PA28,"4,389.48"
PA29,624.5751543
PA3,"3,813.63"
PA30,261.8498576
PA31,"1,105.34"
PA32,255.1198264
PA33,161.3411302
PA34,"2,275.95"
PA35,301.6108599
PA36,9.599033543
PA37,518.6329569
PA38,187.1020762
PA4,"1,438.90"
PA41,100.0368191
PA42,445.7950934
PA43,315.059711
PA44,119.3626131
PA45,47.1643858
PA46,73.9156454
PA47,97.68988421
PA48,142.9832403
PA49,83.83311261
PA5,"2,171.47"
PA6,563.9328342
PA60,112.4681692
PA61,87.52984921
PA62,9.589018184
PA63,3.319275525
PA64,22.1285035
PA65,48.41973112
PA66,38.87748263
PA67,75.4899838
PA68,4.798892675
PA69,7.517571253
PA7,200.5315259
PA70,21.0948023
PA71,10.9380723
PA72,78.43040811
PA73,17.23251488
PA74,9.737510775
PA75,295.8851383
PA76,36.08987585
PA77,"1,394.41"
PA78,143.7243131
PA8,452.9937314
PA80,73.56331781
PA9,398.1811442
PE1,"10,432.25"
PE10,"3,755.11"
PE11,"6,074.28"
PE12,"3,914.92"
PE13,"2,839.48"
PE14,"2,816.98"
PE15,"4,301.33"
PE16,980.1974346
PE19,"7,196.91"
PE2,"5,821.49"
PE20,"3,860.60"
PE21,"5,023.87"
PE22,"2,173.61"
PE23,"2,916.29"
PE24,"1,226.04"
PE25,584.3473033
PE26,"1,024.47"
PE27,"3,195.00"
PE28,"7,358.83"
PE29,"10,645.60"
PE3,"4,641.11"
PE30,"10,645.36"
PE31,"5,423.94"
PE32,"2,948.67"
PE33,"1,997.10"
PE34,"3,703.70"
PE35,27.21152758
PE36,862.3738672
PE37,"2,522.62"
PE38,"1,787.94"
PE4,"3,168.66"
PE5,224.486374
PE6,"6,264.97"
PE7,"5,250.08"
PE8,"6,324.58"
PE9,"4,978.45"
PH1,"6,912.49"
PH10,"1,661.32"
PH11,536.5630676
PH12,407.3418726
PH13,616.7882688
PH14,327.5091833
PH15,"1,360.68"
PH16,"1,928.87"
PH17,102.0135066
PH18,372.4836815
PH19,37.98077057
PH2,"8,485.19"
PH20,548.0106519
PH21,782.3497361
PH22,"1,338.39"
PH23,337.2298846
PH24,429.5195966
PH25,494.4164852
PH26,"1,696.24"
PH3,"2,681.19"
PH30,4.123760052
PH31,85.05667565
PH32,130.9381841
PH33,"1,756.74"
PH34,172.5074452
PH35,67.28181958
PH36,257.0792792
PH37,25.69419725
PH38,38.0654774
PH39,74.3410862
PH4,350.2100791
PH40,47.30148588
PH41,152.0999744
PH42,15.54340327
PH43,10.5019701
PH44,9.990178189
PH49,182.8746435
PH5,175.0338209
PH50,167.0289228
PH6,562.4805081
PH7,"1,874.28"
PH8,401.5898153
PH9,395.7075408
PL1,"3,545.99"
PL10,"1,062.82"
PL11,"2,552.15"
PL12,"4,995.60"
PL13,"1,200.94"
PL14,"8,319.27"
PL15,"8,154.08"
PL16,957.2512679
PL17,"5,037.67"
PL18,"2,070.43"
PL19,"7,998.24"
PL2,"3,383.51"
PL20,"3,032.84"
PL21,"8,749.49"
PL22,"1,487.18"
PL23,"1,533.24"
PL24,"2,773.28"
PL25,"4,926.81"
PL26,"7,651.88"
PL27,"4,516.73"
PL28,"1,043.20"
PL29,637.2713299
PL3,"2,839.05"
PL30,"3,531.54"
PL31,"4,247.26"
PL32,833.6417697
PL33,731.346319
PL34,626.0331096
PL35,198.5287164
PL4,"2,224.98"
PL5,"2,895.78"
PL6,"9,591.87"
PL7,"3,494.17"
PL8,"4,384.89"
PL9,"4,854.67"
PO1,"2,657.54"
PO10,"6,654.67"
PO11,"1,584.34"
PO12,"7,141.83"
PO13,"5,034.00"
PO14,"6,968.48"
PO15,"10,020.82"
PO16,"2,986.29"
PO17,"3,383.98"
PO18,"4,118.81"
PO19,"3,509.79"
PO2,"5,402.88"
PO20,"8,797.76"
PO21,"7,869.99"
PO22,"3,677.63"
PO3,"3,708.62"
PO30,"12,297.64"
PO31,"1,609.98"
PO32,"1,248.46"
PO33,"3,533.98"
PO34,518.2367984
PO35,"2,553.21"
PO36,"1,326.19"
PO37,580.0878707
PO38,"5,689.81"
PO39,"1,309.09"
PO4,"1,911.38"
PO40,"3,380.76"
PO41,"3,590.45"
PO5,"1,803.57"
PO6,"3,148.33"
PO7,"5,838.64"
PO8,"6,019.17"
PO9,"7,554.99"
PR1,"12,385.03"
PR2,"8,227.80"
PR25,"1,646.60"
PR26,"2,543.58"
PR3,"20,837.10"
PR4,"14,721.59"
PR5,"5,579.96"
PR6,"1,948.21"
PR7,"3,474.10"
PR8,"6,883.44"
PR9,"7,248.10"
RG1,"3,903.41"
RG10,"8,284.54"
RG12,"5,755.82"
RG14,"12,949.99"
RG17,"3,307.31"
RG18,"8,260.84"
RG19,"8,551.47"
RG2,"5,154.89"
RG20,"10,190.87"
RG21,"2,381.37"
RG22,"4,644.40"
RG23,"1,184.74"
RG24,"2,499.17"
RG25,"3,163.22"
RG26,"3,919.72"
RG27,"4,774.32"
RG28,"1,006.74"
RG29,"1,174.93"
RG30,"3,954.79"
RG31,"2,034.28"
RG4,"3,958.30"
RG40,"10,290.81"
RG41,"6,128.46"
RG42,"3,662.10"
RG45,"2,399.24"
RG5,"3,411.58"
RG6,"3,299.85"
RG7,"10,663.70"
RG8,"4,246.42"
RG9,"10,724.77"
RH1,"11,965.63"
RH10,"6,485.05"
RH11,"6,816.92"
RH12,"13,471.12"
RH13,"9,975.84"
RH14,"6,621.49"
RH15,"5,536.85"
RH16,"4,953.18"
RH17,"2,605.04"
RH18,541.172627
RH19,"5,727.57"
RH2,"6,346.11"
RH20,"7,823.78"
RH3,828.7973238
RH4,"1,591.81"
RH5,"7,578.52"
RH6,"5,007.83"
RH7,"3,035.22"
RH8,"2,353.81"
RH9,"1,175.33"
RM1,"1,449.45"
RM10,"1,782.77"
RM11,"2,216.75"
RM12,"2,666.74"
RM13,"1,641.94"
RM14,"7,567.76"
RM15,"1,610.32"
RM16,"2,397.98"
RM17,"2,359.46"
RM18,804.8865305
RM19,181.6896757
RM2,788.5230366
RM20,300.023888
RM3,"7,014.08"
RM4,539.4732095
RM5,743.9748631
RM6,"1,784.30"
RM7,"2,764.44"
RM8,"1,774.18"
RM9,"1,026.28"
S1,714.3359721
S10,"4,691.29"
S11,"4,281.39"
S12,"4,211.19"
S13,"2,004.79"
S14,725.342323
S17,"1,764.35"
S18,"5,920.52"
S2,"2,639.50"
S20,"3,559.77"
S21,"2,445.46"
S25,"3,157.53"
S26,"2,528.59"
S3,"1,527.91"
S32,"2,944.36"
S33,"1,429.93"
S35,"3,759.73"
S36,"8,681.59"
S4,"1,082.60"
S40,"4,374.44"
S41,"7,013.14"
S42,"2,670.28"
S43,"6,825.41"
S44,"2,812.03"
S45,"1,535.59"
S5,"2,842.39"
S6,"6,871.52"
S60,"1,359.09"
S61,"1,464.94"
S62,"2,095.96"
S63,"6,195.71"
S64,"1,393.48"
S65,"1,003.63"
S66,"2,235.65"
S7,"2,566.80"
S70,"4,145.29"
S71,"4,812.92"
S72,"1,628.67"
S73,"1,156.15"
S74,"1,607.91"
S75,"3,906.97"
S8,"5,877.15"
S80,"4,742.80"
S81,"4,780.91"
S9,"2,516.11"
SA1,"11,389.82"
SA10,"5,172.96"
SA11,"8,799.90"
SA12,"6,717.59"
SA13,"3,179.74"
SA14,"3,287.97"
SA15,"7,273.99"
SA16,"2,224.19"
SA17,"4,357.82"
SA18,"5,713.37"
SA19,"7,098.37"
SA2,"10,693.13"
SA20,"1,031.57"
SA3,"7,825.78"
SA31,"6,054.16"
SA32,"2,077.01"
SA33,"9,529.77"
SA34,"5,079.01"
SA35,251.1668975
SA36,126.7859227
SA37,474.8185904
SA38,"1,544.81"
SA39,"1,745.33"
SA4,"4,664.17"
SA40,"2,051.87"
SA41,751.0325999
SA42,700.574831
SA43,"5,317.05"
SA44,"6,003.18"
SA45,824.5609349
SA46,"2,398.38"
SA47,491.8144828
SA48,"6,607.24"
SA5,"3,041.11"
SA6,"6,320.51"
SA61,"9,428.11"
SA62,"14,914.74"
SA63,"1,981.13"
SA64,893.047543
SA65,"1,236.32"
SA66,"3,298.30"
SA67,"5,788.13"
SA68,"1,012.09"
SA69,734.476538
SA7,"1,828.04"
SA70,"1,550.44"
SA71,"1,102.50"
SA72,975.8982206
SA73,"3,404.52"
SA8,"4,497.67"
SA9,"2,663.35"
SE1,"1,480.69"
SE10,"1,800.66"
SE11,824.0565724
SE12,"1,209.14"
SE13,"1,226.23"
SE14,809.5557466
SE15,"1,276.42"
SE16,"1,040.98"
SE17,495.559426
SE18,"3,704.94"
SE19,780.8146869
SE2,"1,459.16"
SE20,679.7611948
SE21,721.0923497
SE22,"1,492.57"
SE23,"1,689.69"
SE24,619.133004
SE25,"1,220.61"
SE26,"1,227.74"
SE27,847.1882232
SE28,"1,039.48"
SE3,"1,703.90"
SE4,"1,086.19"
SE5,619.5548553
SE6,"1,982.04"
SE7,"3,609.91"
SE8,991.8936377
SE9,"3,690.76"
SG1,"7,060.89"
SG10,306.6499196
SG11,"1,161.70"
SG12,"14,875.72"
SG13,"4,602.06"
SG14,"6,237.99"
SG15,534.1500222
SG16,762.45553
SG17,"1,539.72"
SG18,"5,849.16"
SG19,"9,333.01"
SG2,"4,294.63"
SG3,"1,856.70"
SG4,"2,092.46"
SG5,"10,178.76"
SG6,"2,743.90"
SG7,"1,851.23"
SG8,"8,276.20"
SG9,"4,008.69"
SK1,"1,267.36"
SK10,"12,387.64"
SK11,"8,156.47"
SK12,"6,049.64"
SK13,"3,504.90"
SK14,"2,505.22"
SK15,"1,180.51"
SK16,"1,229.92"
SK17,"7,644.15"
SK2,"1,741.06"
SK22,"3,302.23"
SK23,"5,237.17"
SK3,"5,110.91"
SK4,"3,845.65"
SK5,"3,245.14"
SK6,"4,545.27"
SK7,"4,542.29"
SK8,"14,417.81"
SK9,"12,069.97"
SL0,733.0018302
SL1,"7,898.49"
SL2,"5,936.35"
SL3,"2,717.87"
SL4,"8,430.07"
SL5,"4,236.59"
SL6,"14,184.01"
SL7,"11,803.32"
SL8,571.0107872
SL9,"4,499.82"
SM1,"3,393.77"
SM2,"3,398.61"
SM3,"2,733.93"
SM4,"2,777.05"
SM5,"2,339.08"
SM6,"1,593.15"
SM7,"2,587.21"
SN1,"11,660.84"
SN10,"3,770.66"
SN11,"5,245.88"
PL95,0
PR11,0
RH77,0
S49,0
S95,0
S96,0
S97,0
S98,0
S99,0
SA80,0
SA99,0
SE1P,0
SL95,0
SN12,"6,582.00"
SN13,"7,093.82"
SN14,"6,917.70"
SN15,"19,911.21"
SN16,"8,634.28"
SN2,"9,128.91"
SN25,"4,029.84"
SN26,218.9557411
SN3,"15,861.03"
SN4,"13,923.92"
SN5,"5,494.24"
SN6,"6,599.93"
SN7,"4,096.56"
SN8,"15,396.81"
SN9,970.7087413
SO14,"1,599.46"
SO15,"3,587.02"
SO16,"6,257.47"
SO17,"1,235.53"
SO18,"3,282.01"
SO19,"3,547.88"
SO20,"1,400.89"
SO21,"12,147.59"
SO22,"4,111.78"
SO23,"5,843.49"
SO24,"2,996.61"
SO30,"5,369.13"
SO31,"9,594.00"
SO32,"6,697.51"
SO40,"5,099.88"
SO41,"5,171.48"
SO42,892.9609829
SO43,805.6287677
SO45,"7,896.67"
SO50,"10,286.16"
SO51,"4,369.57"
SO52,871.5231806
SO53,"6,751.36"
SP1,"9,020.52"
SP10,"6,667.39"
SP11,"4,625.11"
SP2,"7,258.09"
SP3,"4,244.38"
SP4,"9,740.89"
SP5,"5,476.88"
SP6,"8,975.72"
SP7,"6,350.15"
SP8,"8,003.65"
SP9,"4,111.92"
SR1,289.4940249
SR2,819.8888664
SR3,"1,275.53"
SR4,"2,631.57"
SR5,"4,308.29"
SR6,"3,319.72"
SR7,"1,703.90"
SR8,"1,427.96"
SS0,"5,415.06"
SS1,"2,906.51"
SS11,"1,632.26"
SS12,824.9320578
SS13,"1,844.11"
SS14,"3,669.99"
SS15,"3,317.01"
SS16,"5,922.45"
SS17,"2,147.01"
SS2,"4,447.51"
SS3,"2,606.26"
SS4,"1,812.81"
SS5,"2,928.23"
SS6,"3,418.00"
SS7,"5,434.79"
SS8,"3,542.60"
SS9,"6,801.16"
ST1,"2,993.80"
ST10,"8,200.85"
ST11,"3,172.36"
ST12,841.9904816
ST13,"8,013.28"
ST14,"7,662.62"
ST15,"10,744.36"
ST16,"4,097.62"
ST17,"6,515.44"
ST18,"3,146.58"
ST19,"6,714.50"
ST2,"6,401.80"
ST20,"2,038.16"
ST21,"5,065.41"
ST3,"7,778.49"
ST4,"3,726.58"
ST5,"7,821.25"
ST6,"4,872.31"
ST7,"10,638.71"
ST8,"4,714.79"
ST9,"1,890.97"
SW10,962.5342757
SW11,"4,749.07"
SW12,"1,812.02"
SW13,"2,019.65"
SW14,"3,197.36"
SW15,"3,454.81"
SW16,"3,912.51"
SW17,"3,426.80"
SW18,"2,343.44"
SW19,"10,272.01"
SW1A,88.07686345
SW1E,207.1125135
SW1H,174.2648165
SW1P,"1,967.54"
SW1V,"3,562.08"
SW1W,"1,274.59"
SW1X,731.9996839
SW1Y,114.3267127
SW2,"2,656.25"
SW20,"2,919.11"
SW3,"1,915.66"
SW4,"2,686.10"
SW5,697.408145
SW6,"5,106.69"
SW7,"1,045.18"
SW8,"3,011.78"
SW9,956.9659638
SY1,"4,016.98"
SY10,"4,765.87"
SY11,"8,301.31"
SY12,"6,666.41"
SY13,"11,139.48"
SY14,"5,109.75"
SY15,"3,917.57"
SY16,"5,078.14"
SY17,"1,800.44"
SY18,"3,034.09"
SY19,"1,223.03"
SY2,"3,527.18"
SY20,"4,466.64"
SY21,"7,819.25"
SY22,"4,175.23"
SY23,"10,730.45"
SY24,478.3904886
SY25,"3,315.48"
SY3,"8,411.10"
SY4,"7,117.61"
SY5,"7,051.51"
SY6,"2,822.84"
SY7,"3,997.78"
SY8,"10,259.05"
SY9,"1,339.12"
TA1,"12,831.13"
TA10,"2,419.77"
TA11,"1,848.86"
TA12,"4,232.33"
TA13,"1,185.85"
TA14,"2,076.36"
TA15,461.4621446
TA16,532.6107221
TA17,211.5116122
TA18,"3,367.23"
